Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSR27 	ESSR24 	U	-59.86		-	0.25	3.23	9999
ESSR27 	ESSR25 	U	-65.98		-	2.68	6.68	9999
ESSR27 	ESSR26 	HS	-64.90		1.22	-	2.94	9999
ESSR28 	ESSR18 	HS	-45.44		0.84	-	1.71	9999
ESSR28 	ESSR19 	U	-54.81		-	0.96	3.54	9999
ESSR28 	ESSR20 	FS	-48.82		1.85	0.53	-	9999
ESSR28 	ESSR01 	HS	-50.06		0.17	-	2.10	9999
ESSR28 	ESSR02 	FS	-47.94		1.83	0.24	-	9999
ESSR28 	ESSR03 	U	-50.95		-	0.42	2.84	9999
ESSR28 	ESSR04 	U	-53.22		-	2.67	6.73	9999
ESSR28 	ESSR05 	U	-45.49		-	0.09	2.96	9999
ESSR28 	ESSR06 	U	-57.93		-	3.47	8.40	9999
ESSR28 	ESSR07 	HS	-46.22		0.59	-	0.43	9999
ESSR28 	ESSR08 	HS	-50.02		1.17	-	0.68	9999
ESSR28 	ESSR09 	HS	-50.02		1.56	-	1.25	9999
ESSR28 	ESSR10 	U	-43.41		-	1.39	5.08	9999
ESSR28 	ESSR11 	U	-49.17		-	0.40	3.89	9999
ESSR28 	ESSR12 	U	-53.32		-	0.56	3.55	9999
ESSR28 	ESSR13 	U	-39.31		-	1.26	3.91	9999
ESSR28 	ESSR14 	U	-57.63		-	3.32	8.25	9999
ESSR28 	ESSR15 	PO	-37.86		2.95	1.10	1.17	-
ESSR28 	ESSR16 	U	-51.39		-	0.48	2.00	9999
ESSR28 	ESSR17 	U	-55.03		-	4.30	9.68	9999
ESSR28 	ESSR21 	U	-53.13		-	2.29	5.59	9999
ESSR28 	ESSR22 	U	-54.56		-	2.83	6.55	9999
ESSR28 	ESSR23 	U	-59.48		-	2.72	6.46	9999
ESSR28 	ESSR24 	HS	-51.38		0.30	-	2.86	9999
ESSR28 	ESSR25 	HS	-55.32		2.49	-	0.94	9999
ESSR28 	ESSR26 	HS	-58.19		0.65	-	2.37	9999
ESSR28 	ESSR27 	U	-54.81		-	1.33	5.53	9999
ESSE01 	ESSR18 	U	-53.28		-	1.30	3.90	9999
ESSE01 	ESSR19 	U	-58.70		-	2.43	5.30	9999
ESSE01 	ESSR20 	U	-56.86		-	2.78	7.34	9999
ESSE01 	ESSR01 	FS	-52.23		3.36	0.60	-	9999
ESSE01 	ESSR02 	U	-53.66		-	0.74	4.16	9999
ESSE01 	ESSR03 	PO	-55.13		1.85	0.41	2.32	-
ESSE01 	ESSR04 	U	-57.11		-	2.25	5.50	9999
ESSE01 	ESSR05 	PO	-49.84		1.01	0.14	1.94	-
ESSE01 	ESSR06 	U	-61.83		-	1.97	4.84	9999
ESSE01 	ESSR07 	U	-52.84		-	1.04	4.12	9999
ESSE01 	ESSR08 	FS	-55.25		3.28	0.71	-	9999
ESSE01 	ESSR09 	HS	-57.61		0.00	-	3.31	9999
ESSE01 	ESSR10 	HS	-45.64		0.21	-	1.56	9999
ESSE01 	ESSR11 	U	-53.07		-	1.24	4.34	9999
ESSE01 	ESSR12 	U	-51.68		-	0.93	3.21	9999
ESSE01 	ESSR13 	U	-45.44		-	0.02	2.41	9999
ESSE01 	ESSR14 	U	-64.37		-	2.21	6.43	9999
